Class,SpellName,Rank1_ID,AllRankIDs,flags0,flags1,flags2,flags0_hex,flags1_hex,flags2_hex,SpellType,ModifiableStats,VerifyCommand
Death Knight,"Alexander's Test Periodic Aura",20000,"20000",20971520,0,0,0x01400000,0x00000000,0x00000000,Aura/Stance,"Duration (op=1), Effect Amount (op=8)","VERIFY: .spellinfo all 20000"
Death Knight,"Blood Presence",48266,"48266",8388608,0,0,0x00800000,0x00000000,0x00000000,Aura/Stance,"Duration (op=1), Effect Amount (op=8)","VERIFY: .spellinfo all 48266"
Death Knight,"Frost Presence",48263,"48263",32768,0,0,0x00008000,0x00000000,0x00000000,Aura/Stance,"Duration (op=1), Effect Amount (op=8)","VERIFY: .spellinfo all 48263"
Death Knight,"Frost Presence",61261,"61261",32768,0,0,0x00008000,0x00000000,0x00000000,Aura/Stance,"Duration (op=1), Effect Amount (op=8)","VERIFY: .spellinfo all 61261"
Death Knight,"Unholy Presence",48265,"48265",65536,0,0,0x00010000,0x00000000,0x00000000,Aura/Stance,"Duration (op=1), Effect Amount (op=8)","VERIFY: .spellinfo all 48265"
Death Knight,"Bone Shield",49222,"49222",0,64,0,0x00000000,0x00000040,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 49222"
Death Knight,"Mark of Blood",49005,"49005",268435456,0,0,0x10000000,0x00000000,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 49005"
Death Knight,"Shield of Bones",70204,"70204",0,64,0,0x00000000,0x00000040,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 70204"
Death Knight,"Shield of Bones",70207,"70207",0,64,0,0x00000000,0x00000040,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 70207"
Death Knight,"Shield of Bones",69642,"69642",0,64,0,0x00000000,0x00000040,0x00000000,Buff,"Duration (op=1), Cast Time (op=10), Mana Cost (op=14)","VERIFY: .spellinfo all 69642"
